los_lat,los_lon,los_alt,los_x,los_y,los_z,distance_m,grid_id_lat,grid_id_lon,grid_id_alt,grid_cloud,cflos_percentage
40.0002580400063,-80.19817446091763,5345.339114452906,833632.88374534,-4825303.008353201,4081443.4565814543,26702.062336369498,5500,4990,18,0.0,0.0
40.00025752846627,-80.19704281388549,5319.892065263957,833724.8752332475,-4825267.3694888,4081427.0558992215,26802.070060475748,5500,4990,17,0.0,0.0
40.00025700587273,-80.1959111578607,5294.446479403962,833816.8667211551,-4825231.730624399,4081410.655216988,26902.07778458218,5500,4990,17,0.0,0.0
40.00025647222541,-80.19477949284406,5269.002356891339,833908.8582090626,-4825196.091759999,4081394.2545347554,27002.0855086881,5500,4990,17,0.0,0.0
40.00025592752406,-80.19364781883633,5243.559697740501,834000.8496969702,-4825160.4528955985,4081377.853852522,27102.09323279453,5500,4990,17,0.0,0.0
40.00025537176841,-80.19251613583829,5218.118501971178,834092.8411848777,-4825124.814031198,4081361.4531702893,27202.100956900777,5500,4990,17,0.0,0.0
40.00025480495819,-80.19138444385071,5192.678769600706,834184.8326727853,-4825089.175166797,4081345.052488056,27302.108681007212,5500,4990,17,0.0,0.0
40.00025422709316,-80.19025274287438,5167.240500646008,834276.8241606927,-4825053.536302397,4081328.651805823,27402.116405113127,5500,4990,17,0.0,0.0
40.00025363817303,-80.18912103291007,5141.803695124188,834368.8156486002,-4825017.897437996,4081312.25112359,27502.124129219454,5500,4991,17,0.0,0.0
40.00025303819755,-80.18798931395854,5116.368353054081,834460.8071365078,-4824982.258573595,4081295.850441357,27602.13185332581,5500,4991,17,0.0,0.0
40.000252427166444,-80.18685758602058,5090.934474452009,834552.7986244153,-4824946.619709195,4081279.4497591243,27702.139577432063,5500,4991,17,0.0,0.0
40.00025180507945,-80.18572584909698,5065.502059336623,834644.7901123229,-4824910.980844795,4081263.049076891,27802.147301538163,5500,4991,17,0.0,0.0
40.00025117193632,-80.1845941031885,5040.071107723298,834736.7816002304,-4824875.341980394,4081246.648394658,27902.15502564441,5500,4991,17,0.0,0.0
40.00025052773678,-80.18346234829592,5014.641619631101,834828.773088138,-4824839.703115993,4081230.247712425,28002.162749750845,5500,4991,16,0.0,0.0
40.000249872480566,-80.18233058442,4989.2135950781485,834920.7645760454,-4824804.064251592,4081213.847030192,28102.17047385709,5500,4991,16,0.0,0.0
40.00024920616741,-80.18119881156154,4963.787034080052,835012.756063953,-4824768.4253871925,4081197.446347959,28202.178197963196,5500,4991,16,0.0,0.0
40.000248528797066,-80.1800670297213,4938.361936655642,835104.7475518605,-4824732.786522792,4081181.045665726,28302.185922069446,5500,4991,16,0.0,0.0
